"","class","avg_mass","Fell","Found","total_row","pct_of_all"
"195","Iron, IIF",5610,1,5,6,0.019
"196","Iron, IIG",5690,0,6,6,0.019
"197","Iron, IIIAB",6453,10,256,266,0.83
"198","Iron, IIIAB-an",8719,1,2,3,0.009
"199","Iron, IIIAB?",5707,0,4,4,0.012
"200","Iron, IIIE",5826,0,12,12,0.037
"201","Iron, IIIE-an",9681,0,1,1,0.003
"202","Iron, IIIF",4570,0,9,9,0.028
"203","Iron, IVA",5335,4,57,61,0.19
"204","Iron, IVA-an",6961,0,5,5,0.016
"205","Iron, IVB",5919,0,14,14,0.044
"206","Iron, ungrouped",5830,4,93,97,0.303
"207","K",5035,0,1,1,0.003
"208","K3",4320,1,1,2,0.006
"209","L",6350,10,31,41,0.128
"210","L-imp melt",4846,0,6,6,0.019
"211","L-melt breccia",8471,0,1,1,0.003
"212","L-melt rock",10506,0,2,2,0.006
"213","L-metal",34,0,2,2,0.006
"214","L(?)3",2322,0,2,2,0.006
"215","L(LL)3",9390,0,2,2,0.006
"216","L(LL)3.05",7916,0,2,2,0.006
"217","L(LL)3.5-3.7",417,0,1,1,0.003
"218","L(LL)5",191,0,1,1,0.003
"219","L(LL)6",5647,0,1,1,0.003
"220","L/LL",1627,0,1,1,0.003
"221","L/LL(?)3",3890,0,1,1,0.003
"222","L/LL~4",5065,0,1,1,0.003
"223","L/LL~5",6484,0,2,2,0.006
"224","L/LL~6",1652,0,2,2,0.006
"225","L/LL3",5407,0,18,18,0.056
"226","L/LL3-5",2064,0,1,1,0.003
"227","L/LL3-6",10493,0,1,1,0.003
"228","L/LL3.10",5956,0,1,1,0.003
"229","L/LL3.2",3029,0,1,1,0.003
"230","L/LL3.4",9327,0,3,3,0.009
"231","L/LL3.6/3.7",4201,0,1,1,0.003
"232","L/LL4",7357,3,11,14,0.044
"233","L/LL4-6",6277,0,1,1,0.003
"234","L/LL4/5",11292,0,1,1,0.003
"235","L/LL5",6521,3,8,11,0.034
"236","L/LL5-6",6188,0,1,1,0.003
"237","L/LL5/6",6948,0,1,1,0.003
"238","L/LL6",5948,4,12,16,0.05
"239","L/LL6-an",8947,1,0,1,0.003
"240","L~3",7253,0,1,1,0.003
"241","L~4",3541,0,5,5,0.016
"242","L~5",6474,0,26,26,0.081
"243","L~6",6051,0,75,75,0.234
"244","L3",5613,3,173,176,0.549
"245","L3-4",6469,1,1,2,0.006
"246","L3-5",4187,0,8,8,0.025
"247","L3-6",4990,1,8,9,0.028
"248","L3.0",4523,0,2,2,0.006
"249","L3.0-3.7",9096,0,1,1,0.003
"250","L3.0-3.9",8184,0,1,1,0.003
"251","L3.05",10296,0,2,2,0.006
"252","L3.1",7394,0,11,11,0.034
"253","L3.10",7982,0,1,1,0.003
"254","L3.2",7765,0,12,12,0.037
"255","L3.2-3.5",7136,0,1,1,0.003
"256","L3.2-3.6",10339,0,1,1,0.003
"257","L3.3",5630,0,12,12,0.037
"258","L3.3-3.5",7881,0,1,1,0.003
"259","L3.3-3.6",4547,0,1,1,0.003
"260","L3.3-3.7",2783,0,1,1,0.003
"261","L3.4",5627,1,47,48,0.15
"262","L3.4-3.7",5776,0,1,1,0.003
"263","L3.5",6129,0,81,81,0.253
"264","L3.5-3.7",2722,0,1,1,0.003
"265","L3.5-3.8",10969,0,1,1,0.003
"266","L3.5-3.9",6821,0,1,1,0.003
"267","L3.5-5",8911,0,1,1,0.003
"268","L3.6",7265,1,42,43,0.134
"269","L3.6-4",2884,0,1,1,0.003
"270","L3.7",5783,2,36,38,0.119
"271","L3.7-3.9",670,0,1,1,0.003
"272","L3.7-4",6639,0,1,1,0.003
"273","L3.7-6",9818,1,0,1,0.003
"274","L3.7/3.8",7124,0,1,1,0.003
"275","L3.8",6686,0,37,37,0.115
"276","L3.8-6",6892,0,1,1,0.003
"277","L3.8-an",2455,0,1,1,0.003
"278","L3.9",7009,0,17,17,0.053
"279","L3.9-5",6667,0,1,1,0.003
"280","L3.9-6",3353,0,1,1,0.003
"281","L3.9/4",7968,0,1,1,0.003
"282","L3/4",7295,0,5,5,0.016
"283","L4",5839,18,781,799,2.494
"284","L4 ",5768,0,2,2,0.006
"285","L4-5",4622,0,14,14,0.044
"286","L4-6",6078,1,13,14,0.044
"287","L4-an",9620,0,1,1,0.003
"288","L4/5",6010,0,38,38,0.119
"289","L5",5672,76,2649,2725,8.506
"290","L5 ",2502,0,21,21,0.066
"291","L5-6",6960,2,24,26,0.081
"292","L5-7",12284,0,1,1,0.003
"293","L5/6",6271,2,64,66,0.206
"294","L6",5888,260,6269,6529,20.379
"295","L6 ",4369,0,54,54,0.169
"296","L6-melt breccia",1319,0,1,1,0.003
"297","L6/7",6063,0,9,9,0.028
"298","L7",6632,0,20,20,0.062
"299","LL",6356,2,218,220,0.687
"300","LL(L)3",6128,0,2,2,0.006
"301","LL~3",3717,0,3,3,0.009
"302","LL~5",6548,0,8,8,0.025
"303","LL~6",5364,0,4,4,0.012
"304","LL3",5927,0,67,67,0.209
"305","LL3-5",10097,0,1,1,0.003
"306","LL3-6",5942,2,4,6,0.019
"307","LL3.0",3847,0,3,3,0.009
"308","LL3.00",10584,1,0,1,0.003
"309","LL3.1",5363,0,2,2,0.006
"310","LL3.1-3.5",11536,0,1,1,0.003
"311","LL3.15",1992,1,2,3,0.009
"312","LL3.2",6940,1,5,6,0.019
"313","LL3.3",5564,1,10,11,0.034
"314","LL3.4",6785,3,13,16,0.05
"315","LL3.5",6307,0,10,10,0.031
"316","LL3.6",6368,2,8,10,0.031
"317","LL3.7",5510,0,12,12,0.037
"318","LL3.7-6",4978,0,1,1,0.003
"319","LL3.8",5308,1,8,9,0.028
"320","LL3.8-6",8750,0,2,2,0.006
"321","LL3.9",6169,1,8,9,0.028
"322","LL3.9/4",3523,0,1,1,0.003
"323","LL3/4",651,0,1,1,0.003
"324","LL4",5941,7,153,160,0.499
"325","LL4-5",4360,0,4,4,0.012
"326","LL4-6",6017,1,18,19,0.059
"327","LL4/5",4783,0,1,1,0.003
"328","LL5",5734,19,1878,1897,5.921
"329","LL5-6",7104,0,30,30,0.094
"330","LL5-7",11866,0,1,1,0.003
"331","LL5/6",5408,0,37,37,0.115
"332","LL6",5922,41,922,963,3.006
"333","LL6 ",1056,0,1,1,0.003
"334","LL6(?)",6068,0,1,1,0.003
"335","LL7",7085,1,15,16,0.05
"336","LL7(?)",11341,0,1,1,0.003
"337","Lodranite",6566,1,11,12,0.037
"338","Lodranite-an",2251,0,1,1,0.003
"339","Lunar",5022,0,15,15,0.047
"340","Lunar (anorth)",6763,0,58,58,0.181
"341","Lunar (bas. breccia)",2048,0,1,1,0.003
"342","Lunar (bas/anor)",7919,0,2,2,0.006
"343","Lunar (basalt)",5943,0,13,13,0.041
"344","Lunar (feldsp. breccia)",5473,0,8,8,0.025
"345","Lunar (gabbro)",9138,0,2,2,0.006
"346","Lunar (norite)",10256,0,1,1,0.003
"347","Martian (chassignite)",7614,1,0,1,0.003
"348","Martian (nakhlite)",4859,1,6,7,0.022
"349","Martian (OPX)",1005,0,1,1,0.003
"350","Martian (shergottite)",7290,3,32,35,0.109
"351","Mesosiderite",5352,1,86,87,0.272
"352","Mesosiderite-A",3766,0,2,2,0.006
"353","Mesosiderite-A1",6312,3,3,6,0.019
"354","Mesosiderite-A2",10662,0,1,1,0.003
"355","Mesosiderite-A3",5243,1,2,3,0.009
"356","Mesosiderite-A3/4",6787,1,0,1,0.003
"357","Mesosiderite-A4",3759,0,3,3,0.009
"358","Mesosiderite-an",4100,0,6,6,0.019
"359","Mesosiderite-B",11348,0,1,1,0.003
"360","Mesosiderite-B1",9526,0,4,4,0.012
"361","Mesosiderite-B2",9398,1,0,1,0.003
"362","Mesosiderite-B4",8396,0,3,3,0.009
"363","Mesosiderite-C",4803,0,1,1,0.003
"364","Mesosiderite-C2",8670,0,2,2,0.006
"365","Mesosiderite?",8083,0,1,1,0.003
"366","OC",5243,24,51,75,0.234
